t,px,py,pz,qx,qy,qz,qw,vx,vy,vz,ux,uy,uz,joint1,joint2,joint3,joint4,gripper
3.539000000000000057e+01,1.148724756718136480e-01,4.551209622663229259e-01,5.328925728782737403e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.113358532213129526e-01,-1.055217206665792773e-02,9.892407324600949181e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.539999999999999858e+01,1.137590843746198455e-01,4.550141369970802097e-01,5.338819385859403521e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.113421010903892228e-01,-1.081292381752974041e-02,9.894894112271734876e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.541000000000000369e+01,1.126456336500058636e-01,4.549047037899723311e-01,5.348715517007280873e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.113477385304255385e-01,-1.107375892571704767e-02,9.897355463330814729e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.542000000000000171e+01,1.115321296040113347e-01,4.547926618185658687e-01,5.358614096786065151e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.113527651936778440e-01,-1.133467596274584377e-02,9.899791370431842985e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.542999999999999972e+01,1.104185783461323067e-01,4.546780102707174143e-01,5.368515099748144559e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.113571807359603483e-01,-1.159567349903467548e-02,9.902201826300638388e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.543999999999999773e+01,1.093049859892921277e-01,4.545607483485851752e-01,5.378418500438666427e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.113609848162992744e-01,-1.185675010383913097e-02,9.904586823748506852e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.545000000000000284e+01,1.081913586498063212e-01,4.544408752686406316e-01,5.388324273395641573e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.113641770969835132e-01,-1.211790434525739091e-02,9.906946355646706337e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.546000000000000085e+01,1.070777024473524575e-01,4.543183902616800274e-01,5.398232393149959840e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.113667572437415654e-01,-1.237913479028573960e-02,9.909280414949761528e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.546999999999999886e+01,1.059640235049314899e-01,4.541932925728349169e-01,5.408142834225541096e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.113687249257422351e-01,-1.264044000479636054e-02,9.911588994701014954e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.548000000000000398e+01,1.048503279488376128e-01,4.540655814615841002e-01,5.418055571139361870e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.113700798153816063e-01,-1.290181855354011198e-02,9.913872087992658955e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
