t,x,y,z,fx,fy,fz
170.720000,1.801412,0.185600,1.600000,0.000000,0.000000,0.000000
170.730000,1.799471,0.185400,1.600000,0.000000,0.000000,0.000000
170.740000,1.797529,0.185200,1.600000,0.000000,0.000000,0.000000
170.750000,1.795588,0.185000,1.600000,0.000000,0.000000,0.000000
170.760000,1.793647,0.184800,1.600000,0.000000,0.000000,0.000000
170.770000,1.791706,0.184600,1.600000,0.000000,0.000000,0.000000
170.780000,1.789765,0.184400,1.600000,0.000000,0.000000,0.000000
170.790000,1.787824,0.184200,1.600000,0.000000,0.000000,0.000000
170.800000,1.785882,0.184000,1.600000,0.000000,0.000000,0.000000
170.810000,1.783941,0.183800,1.600000,0.000000,0.000000,0.000000
170.820000,1.782000,0.183600,1.600000,0.000000,0.000000,0.000000
170.830000,1.780059,0.183400,1.600000,0.000000,0.000000,0.000000
170.840000,1.778118,0.183200,1.600000,0.000000,0.000000,0.000000
170.850000,1.776176,0.183000,1.600000,0.000000,0.000000,0.000000
170.860000,1.774235,0.182800,1.600000,0.000000,0.000000,0.000000
170.870000,1.772294,0.182600,1.600000,0.000000,0.000000,0.000000
170.880000,1.770353,0.182400,1.600000,0.000000,0.000000,0.000000
170.890000,1.768412,0.182200,1.600000,0.000000,0.000000,0.000000
170.900000,1.766471,0.182000,1.600000,0.000000,0.000000,0.000000
170.910000,1.764529,0.181800,1.600000,0.000000,0.000000,0.000000
170.920000,1.762588,0.181600,1.600000,0.000000,0.000000,0.000000
170.930000,1.760647,0.181400,1.600000,0.000000,0.000000,0.000000
170.940000,1.758706,0.181200,1.600000,0.000000,0.000000,0.000000
170.950000,1.756765,0.181000,1.600000,0.000000,0.000000,0.000000
170.960000,1.754824,0.180800,1.600000,0.000000,0.000000,0.000000
170.970000,1.752882,0.180600,1.600000,0.000000,0.000000,0.000000
170.980000,1.750941,0.180400,1.600000,0.000000,0.000000,0.000000
170.990000,1.749000,0.180200,1.600000,0.000000,0.000000,0.000000
171.000000,1.747059,0.180000,1.600000,0.000000,0.000000,0.000000
171.010000,1.745118,0.179800,1.600000,0.000000,0.000000,0.000000
171.020000,1.743176,0.179600,1.600000,0.000000,0.000000,0.000000
171.030000,1.741235,0.179400,1.600000,0.000000,0.000000,0.000000
171.040000,1.739294,0.179200,1.600000,0.000000,0.000000,0.000000
171.050000,1.737353,0.179000,1.600000,0.000000,0.000000,0.000000
171.060000,1.735412,0.178800,1.600000,0.000000,0.000000,0.000000
171.070000,1.733471,0.178600,1.600000,0.000000,0.000000,0.000000
171.080000,1.731529,0.178400,1.600000,0.000000,0.000000,0.000000
171.090000,1.729588,0.178200,1.600000,0.000000,0.000000,0.000000
171.100000,1.727647,0.178000,1.600000,0.000000,0.000000,0.000000
171.110000,1.725706,0.177800,1.600000,0.000000,0.000000,0.000000
171.120000,1.723765,0.177600,1.600000,0.000000,0.000000,0.000000
171.130000,1.721824,0.177400,1.600000,0.000000,0.000000,0.000000
171.140000,1.719882,0.177200,1.600000,0.000000,0.000000,0.000000
171.150000,1.717941,0.177000,1.600000,0.000000,0.000000,0.000000
171.160000,1.716000,0.176800,1.600000,0.000000,0.000000,0.000000
171.170000,1.714059,0.176600,1.600000,0.000000,0.000000,0.000000
171.180000,1.712118,0.176400,1.600000,0.000000,0.000000,0.000000
171.190000,1.710176,0.176200,1.600000,0.000000,0.000000,0.000000
171.200000,1.708235,0.176000,1.600000,0.000000,0.000000,0.000000
171.210000,1.706294,0.175800,1.600000,0.000000,0.000000,0.000000
171.220000,1.704353,0.175600,1.600000,0.000000,0.000000,0.000000
