t,x,y,z,fx,fy,fz
17.140000,1.229667,0.099167,1.600000,0.000000,0.000000,0.000000
17.150000,1.231389,0.099306,1.600000,0.000000,0.000000,0.000000
17.160000,1.233111,0.099444,1.600000,0.000000,0.000000,0.000000
17.170000,1.234833,0.099583,1.600000,0.000000,0.000000,0.000000
17.180000,1.236556,0.099722,1.600000,0.000000,0.000000,0.000000
17.190000,1.238278,0.099861,1.600000,0.000000,0.000000,0.000000
17.200000,1.240000,0.100000,1.600000,0.000000,0.000000,0.000000
17.210000,1.241722,0.100139,1.600000,0.000000,0.000000,0.000000
17.220000,1.243444,0.100278,1.600000,0.000000,0.000000,0.000000
17.230000,1.245167,0.100417,1.600000,0.000000,0.000000,0.000000
17.240000,1.246889,0.100556,1.600000,0.000000,0.000000,0.000000
17.250000,1.248611,0.100694,1.600000,0.000000,0.000000,0.000000
17.260000,1.250333,0.100833,1.600000,0.000000,0.000000,0.000000
17.270000,1.252056,0.100972,1.600000,0.000000,0.000000,0.000000
17.280000,1.253778,0.101111,1.600000,0.000000,0.000000,0.000000
17.290000,1.255500,0.101250,1.600000,0.000000,0.000000,0.000000
17.300000,1.257222,0.101389,1.600000,0.000000,0.000000,0.000000
17.310000,1.258944,0.101528,1.600000,0.000000,0.000000,0.000000
17.320000,1.260667,0.101667,1.600000,0.000000,0.000000,0.000000
17.330000,1.262389,0.101806,1.600000,0.000000,0.000000,0.000000
17.340000,1.264111,0.101944,1.600000,0.000000,0.000000,0.000000
17.350000,1.265833,0.102083,1.600000,0.000000,0.000000,0.000000
17.360000,1.267556,0.102222,1.600000,0.000000,0.000000,0.000000
17.370000,1.269278,0.102361,1.600000,0.000000,0.000000,0.000000
17.380000,1.271000,0.102500,1.600000,0.000000,0.000000,0.000000
17.390000,1.272722,0.102639,1.600000,0.000000,0.000000,0.000000
17.400000,1.274444,0.102778,1.600000,0.000000,0.000000,0.000000
17.410000,1.276167,0.102917,1.600000,0.000000,0.000000,0.000000
17.420000,1.277889,0.103056,1.600000,0.000000,0.000000,0.000000
17.430000,1.279611,0.103194,1.600000,0.000000,0.000000,0.000000
17.440000,1.281333,0.103333,1.600000,0.000000,0.000000,0.000000
17.450000,1.283056,0.103472,1.600000,0.000000,0.000000,0.000000
17.460000,1.284778,0.103611,1.600000,0.000000,0.000000,0.000000
17.470000,1.286500,0.103750,1.600000,0.000000,0.000000,0.000000
17.480000,1.288222,0.103889,1.600000,0.000000,0.000000,0.000000
17.490000,1.289944,0.104028,1.600000,0.000000,0.000000,0.000000
17.500000,1.291667,0.104167,1.600000,0.000000,0.000000,0.000000
17.510000,1.293389,0.104306,1.600000,0.000000,0.000000,0.000000
17.520000,1.295111,0.104444,1.600000,0.000000,0.000000,0.000000
17.530000,1.296833,0.104583,1.600000,0.000000,0.000000,0.000000
17.540000,1.298556,0.104722,1.600000,0.000000,0.000000,0.000000
17.550000,1.300278,0.104861,1.600000,0.000000,0.000000,0.000000
17.560000,1.302000,0.105000,1.600000,0.000000,0.000000,0.000000
17.570000,1.303722,0.105139,1.600000,0.000000,0.000000,0.000000
17.580000,1.305444,0.105278,1.600000,0.000000,0.000000,0.000000
17.590000,1.307167,0.105417,1.600000,0.000000,0.000000,0.000000
17.600000,1.308889,0.105556,1.600000,0.000000,0.000000,0.000000
17.610000,1.310611,0.105694,1.600000,0.000000,0.000000,0.000000
17.620000,1.312333,0.105833,1.600000,0.000000,0.000000,0.000000
17.630000,1.314056,0.105972,1.600000,0.000000,0.000000,0.000000
17.640000,1.315778,0.106111,1.600000,0.000000,0.000000,0.000000
17.650000,1.317500,0.106250,1.600000,0.000000,0.000000,0.000000
17.660000,1.319222,0.106389,1.600000,0.000000,0.000000,0.000000
17.670000,1.320944,0.106528,1.600000,0.000000,0.000000,0.000000
17.680000,1.322667,0.106667,1.600000,0.000000,0.000000,0.000000
17.690000,1.324389,0.106806,1.600000,0.000000,0.000000,0.000000
17.700000,1.326111,0.106944,1.600000,0.000000,0.000000,0.000000
17.710000,1.327833,0.107083,1.600000,0.000000,0.000000,0.000000
17.720000,1.329556,0.107222,1.600000,0.000000,0.000000,0.000000
17.730000,1.331278,0.107361,1.600000,0.000000,0.000000,0.000000
17.740000,1.333000,0.107500,1.600000,0.000000,0.000000,0.000000
