t,px,py,pz,qx,qy,qz,qw,vx,vy,vz,ux,uy,uz,joint1,joint2,joint3,joint4,gripper
1.113000000000000078e+01,2.153398394888264011e-01,-1.126328527252081213e-01,6.822488857967107245e-01,6.643634838359234462e-02,7.677067746834241591e-02,6.643634838359234462e-02,9.926120522681353142e-01,3.838314616592258810e-02,-1.027477271776655599e-02,2.897687753330435712e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.114000000000000057e+01,2.157240604578742338e-01,-1.127348053257775790e-01,6.825384026236097634e-01,6.648435287662837756e-02,7.683503321548598719e-02,6.648435287662837756e-02,9.926006444265121909e-01,3.846071760843922105e-02,-1.011551190720771931e-02,2.892647654124114176e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.115000000000000036e+01,2.161090538409951856e-01,-1.128351629633522757e-01,6.828274153275355474e-01,6.653233277293746362e-02,7.689937146654010625e-02,6.653233277293746362e-02,9.925892322907967635e-01,3.853762769109037034e-02,-9.955781489860704436e-03,2.887605296627016038e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.116000000000000014e+01,2.164948130116960412e-01,-1.129339209555747930e-01,6.831159236829351666e-01,6.658028806666321797e-02,7.696369219740806233e-02,6.658028806666320409e-02,9.925778158740314883e-01,3.861387384066633510e-02,-9.795584214493391340e-03,2.882560686368607072e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.116999999999999993e+01,2.168813313178085123e-01,-1.130310746476421435e-01,6.834039274648092688e-01,6.662821875196214827e-02,7.702799538399893176e-02,6.662821875196214827e-02,9.925663951892607084e-01,3.868945349540103829e-02,-9.634922843183846286e-03,2.877513828881683722e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.117999999999999972e+01,2.172686020816040620e-01,-1.131266194124384700e-01,6.836914264487115034e-01,6.667612482300348808e-02,7.709228100222735580e-02,6.667612482300348808e-02,9.925549702495313209e-01,3.876436410501227225e-02,-9.473800151278688464e-03,2.872464729699597541e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.118999999999999950e+01,2.176566185999087577e-01,-1.132205506506677173e-01,6.839784204107491883e-01,6.672400627396936346e-02,7.715654902801373505e-02,6.672400627396936346e-02,9.925435410678918879e-01,3.883860313079884330e-02,-9.312218927355619957e-03,2.867413394360696088e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.120000000000000107e+01,2.180453741442200388e-01,-1.133128637909855824e-01,6.842649091275836426e-01,6.677186309905457084e-02,7.722079943728411833e-02,6.677186309905458472e-02,9.925321076573940804e-01,3.891216804569469501e-02,-9.150181973159587923e-03,2.862359828403326922e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.121000000000000085e+01,2.184348619608226516e-01,-1.134035542901309090e-01,6.845508923764298537e-01,6.681969529246681305e-02,7.728503220597032763e-02,6.681969529246681305e-02,9.925206700310912344e-01,3.898505633432303163e-02,-8.987692103561151225e-03,2.857304037368613159e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.122000000000000064e+01,2.188250752709064995e-01,-1.134926176330568054e-01,6.848363699350573652e-01,6.686750284842647718e-02,7.734924731000984710e-02,6.686750284842647718e-02,9.925092282020385737e-01,3.905726549308374818e-02,-8.824752146512071516e-03,2.852246026803229029e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.123000000000000043e+01,2.192160072706843266e-01,-1.135800493330611505e-01,6.851213415817904995e-01,6.691528576116673177e-02,7.741344472534592014e-02,6.691528576116674565e-02,9.924977821832947633e-01,3.912879303020061483e-02,-8.661364942987720417e-03,2.847185802252183429e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.124000000000000021e+01,2.196076511315105118e-01,-1.136658449319165598e-01,6.854058070955078019e-01,6.696304402493356844e-02,7.747762442792761883e-02,6.696304402493356844e-02,9.924863319879194679e-01,3.919963646578233929e-02,-8.497533346942670596e-03,2.842123369264371036e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.125000000000000000e+01,2.199999999999999734e-01,-1.137500000000000039e-01,6.856897662556433737e-01,6.701077763398560760e-02,7.754178639370962189e-02,6.701077763398560760e-02,9.924748776289751273e-01,3.926979333190860899e-02,-8.333260225259347953e-03,2.837058733393127419e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.125999999999999979e+01,2.203930469981486839e-01,-1.138325101364217468e-01,6.859732188421864274e-01,6.705848658259438988e-02,7.760593059865261711e-02,6.705848658259438988e-02,9.924634191195266242e-01,3.933926117269115341e-02,-8.168548457698071585e-03,2.831991900190122813e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.126999999999999957e+01,2.207867852234537964e-01,-1.139133709691539653e-01,6.862561646356813982e-01,6.710617086504398754e-02,7.767005701872282952e-02,6.710617086504400142e-02,9.924519564726403953e-01,3.940803754431815298e-02,-8.003400936848481528e-03,2.826922875213133679e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.127999999999999936e+01,2.211812077490350470e-01,-1.139925781551587164e-01,6.865386034172290541e-01,6.715383047563140695e-02,7.773416562989253487e-02,6.715383047563140695e-02,9.924404897013848759e-01,3.947612001514166913e-02,-7.837820568073333716e-03,2.821851664021046702e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.129000000000000092e+01,2.215763076237566298e-01,-1.140701273805154320e-01,6.868205349684856076e-01,6.720146540866618612e-02,7.779825640813962939e-02,6.720146540866618612e-02,9.924290188188318318e-01,3.954350616572205324e-02,-7.671810269462703280e-03,2.816778272174969011e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.130000000000000071e+01,2.219720778723494881e-01,-1.141460143605479705e-01,6.871019590716640479e-01,6.724907565847070001e-02,7.786232932944799068e-02,6.724907565847071389e-02,9.924175438380538061e-01,3.961019358889594777e-02,-7.505372971779861180e-03,2.811702705238783295e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.131000000000000050e+01,2.223685114955345488e-01,-1.142202348399510292e-01,6.873828755095333642e-01,6.729666121937998013e-02,7.792638436980726946e-02,6.729666121937998013e-02,9.924060647721261175e-01,3.967617988986787969e-02,-7.338511618413395832e-03,2.806624968776927354e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.132000000000000028e+01,2.227656014701468457e-01,-1.142927845929162384e-01,6.876632840654194334e-01,6.734422208574174229e-02,7.799042150521297290e-02,6.734422208574175617e-02,9.923945816341260828e-01,3.974146268624495493e-02,-7.171229165319620291e-03,2.801545068358834989e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.133000000000000007e+01,2.231633407492594479e-01,-1.143636594232574216e-01,6.879431845232051312e-01,6.739175825191642821e-02,7.805444071166656173e-02,6.739175825191642821e-02,9.923830944371327956e-01,3.980603960809514508e-02,-7.003528580972612216e-03,2.796463009556160451e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.133999999999999986e+01,2.235617222623087486e-01,-1.144328551645356906e-01,6.882225766673306655e-01,6.743926971227717782e-02,7.811844196517531147e-02,6.743926971227719169e-02,9.923716031942282356e-01,3.986990829803332970e-02,-6.835412846312866053e-03,2.791378797940557988e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.134999999999999964e+01,2.239607389152201145e-01,-1.145003676801836789e-01,6.885014602827932428e-01,6.748675646120970428e-02,7.818242524175240959e-02,6.748675646120970428e-02,9.923601079184956042e-01,3.993306641126154188e-02,-6.666884954692475773e-03,2.786292439088122741e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.135999999999999943e+01,2.243603835905339794e-01,-1.145661928636295401e-01,6.887798351551482900e-01,6.753421849311251612e-02,7.824639051741701101e-02,6.753421849311251612e-02,9.923486086230205450e-01,3.999551161565362278e-02,-6.497947911823787059e-03,2.781203938577170298e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.137000000000000099e+01,2.247606491475331869e-01,-1.146303266384201547e-01,6.890577010705086769e-01,6.758165580239666737e-02,7.831033776819415482e-02,6.758165580239666737e-02,9.923371053208903669e-01,4.005724159180240607e-02,-6.328604735722498376e-03,2.776113301986571358e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.138000000000000078e+01,2.251615284223700275e-01,-1.146927649583439901e-01,6.893350578155456043e-01,6.762906838348589633e-02,7.837426697011479204e-02,6.762906838348589633e-02,9.923255980251948216e-01,4.011825403308494353e-02,-6.158858456656313152e-03,2.771020534899637511e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.139000000000000057e+01,2.255630142281948858e-01,-1.147535038075532809e-01,6.896119051774886044e-01,6.767645623081665340e-02,7.843817809921592443e-02,6.767645623081663953e-02,9.923140867490254369e-01,4.017854664573466961e-02,-5.988712117090816411e-03,2.765925642900235459e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.140000000000000036e+01,2.259650993552847209e-01,-1.148125392006858064e-01,6.898882429441256514e-01,6.772381933883789285e-02,7.850207113154042404e-02,6.772381933883789285e-02,9.923025715054755169e-01,4.023811714888858582e-02,-5.818168771636045289e-03,2.760828631577227910e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.141000000000000014e+01,2.263677765711726575e-01,-1.148698671829860019e-01,6.901640709038040500e-01,6.777115770201126710e-02,7.856594604313722752e-02,6.777115770201126710e-02,9.922910523076406974e-01,4.029696327464554750e-02,-5.647231486987508431e-03,2.755729506520032679e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.141999999999999993e+01,2.267710386207776319e-01,-1.149254838304255566e-01,6.904393888454296579e-01,6.781847131481111290e-02,7.862980281006126670e-02,6.781847131481109903e-02,9.922795291686183905e-01,4.035508276814536721e-02,-5.475903341874144292e-03,2.750628273319177808e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.142999999999999972e+01,2.271748782265355648e-01,-1.149793852498234847e-01,6.907141965584678855e-01,6.786576017172424313e-02,7.869364140837339927e-02,6.786576017172424313e-02,9.922680021015082286e-01,4.041247338762710140e-02,-5.304187427002809985e-03,2.745524937569077117e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.143999999999999950e+01,2.275792880885301739e-01,-1.150315675789656128e-01,6.909884938329434734e-01,6.791302426725015495e-02,7.875746181414058911e-02,6.791302426725015495e-02,9.922564711194109544e-01,4.046913290447623490e-02,-5.132086845003464015e-03,2.740419504866364875e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.145000000000000107e+01,2.279842608846250895e-01,-1.150820269867235540e-01,6.912622804594411585e-01,6.796026359590086330e-02,7.882126400343579531e-02,6.796026359590087718e-02,9.922449362354297531e-01,4.052505910328851879e-02,-4.959604710368104019e-03,2.735311980809895793e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.146000000000000085e+01,2.283897892705959443e-01,-1.151307596731729749e-01,6.915355562291054525e-01,6.800747815220110903e-02,7.888504795233806932e-02,6.800747815220109516e-02,9.922333974626700304e-01,4.058024978194074706e-02,-4.786744149400806725e-03,2.730202371000745032e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.745329251994329478e-01,2.094395102393195318e-01,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00
